nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,lmd_diffuseirrad,lmd_pressure,lmd_totalirrad,lmd_temperature,date_time,predicted_pv,predicted_load,demand,predicted_USEP,predicted_cost
0.0,0.0,26.15,89.73,1.88,0.0,100.79,0.0,26.15,2021-08-01 00:00:00,2.9696266e-11,19.458038,5434.034,61.77909688284539,1202.1000147502523
0.0,0.0,26.11,89.905,1.915,0.0,100.75,0.0,26.11,2021-08-01 00:30:00,5.919044e-12,19.544928,5355.195,60.94859343805735,1191.2358704477426
0.0,0.0,26.07,90.08,1.95,0.0,100.71,0.0,26.07,2021-08-01 01:00:00,1.6547277e-13,19.575857,5238.196,58.39460819064176,1143.1244995110221
0.0,0.0,26.045,90.265,2.015,0.0,100.69,0.0,26.045,2021-08-01 01:30:00,1.5965881e-11,19.575857,5157.871,57.07444772478645,1117.2812270134837
0.0,0.0,26.02,90.45,2.08,0.0,100.67,0.0,26.02,2021-08-01 02:00:00,1.1639278e-11,19.49379,5085.284,55.454653363352655,1081.021367187345
0.0,0.0,26.0,90.645,2.105,0.0,100.66,0.0,26.0,2021-08-01 02:30:00,2.6741874e-13,19.386818,5031.717,51.96494719395014,1007.4349736287082
0.0,0.0,25.98,90.84,2.13,0.0,100.65,0.0,25.98,2021-08-01 03:00:00,2.573764e-12,18.627645,4990.347,45.670540670776425,850.7346185731677
0.0,0.0,25.965,90.975,2.075,0.0,100.66,0.0,25.965,2021-08-01 03:30:00,2.8224866e-12,18.55961,4962.977,43.697698967009494,811.0122507249757
0.0,0.0,25.95,91.11,2.02,0.0,100.67,0.0,25.95,2021-08-01 04:00:00,1.2813612e-11,18.677404,4949.638,38.8789821701169,726.1584570995718
0.0,0.0,25.945,91.155,1.93,0.0,100.69,0.0,25.945,2021-08-01 04:30:00,4.2259724e-12,18.677404,4950.766,41.27031132207581,770.8222777680096
0.0,0.0,25.94,91.2,1.84,0.0,100.71,0.0,25.94,2021-08-01 05:00:00,3.7602855e-12,18.56678,4982.952,41.93312743730077,778.5631518401696
0.045,0.07,26.025,91.265,1.785,0.045,100.74,0.045,26.025,2021-08-01 05:30:00,2.0604362e-11,18.619513,5050.072,46.295405748089586,861.9979091658748
0.09,0.14,26.11,91.33,1.73,0.09,100.77,0.09,26.11,2021-08-01 06:00:00,4.082141e-12,18.630272,5114.711,50.299423052513056,937.0919329111832
0.095,0.47,26.415,91.075,1.8,0.095,100.805,0.095,26.415,2021-08-01 06:30:00,2.1318336e-12,18.574703,5181.091,54.34185519061586,1009.3838206345821
0.1,0.8,26.72,90.82,1.87,0.1,100.84,0.1,26.72,2021-08-01 07:00:00,1.7732383e-11,15.598863,5269.328,53.35229396712032,832.2351243278903
0.17,1.19,26.875,90.33,2.075,0.15,100.86,0.17,26.875,2021-08-01 07:30:00,1.064115e-11,15.610528,5417.598,61.64628875402812,962.3311166901851
0.24,1.58,27.03,89.84,2.28,0.2,100.88,0.24,27.03,2021-08-01 08:00:00,3.8094033e-12,17.384878,5570.545,65.90828939433528,1145.8075703089619
0.41,1.935,27.115,89.535,2.415,0.255,100.895,0.41,27.115,2021-08-01 08:30:00,3.9983034e-11,17.559193,5688.578,63.90555654157252,1122.1300010833295
0.58,2.29,27.2,89.23,2.55,0.31,100.91,0.58,27.2,2021-08-01 09:00:00,1.0930039e-12,17.420267,5775.91,62.12422495432467,1082.2205858723305
0.815,2.545,27.275,88.765,2.695,0.545,100.895,0.815,27.275,2021-08-01 09:30:00,8.126378e-12,17.243658,5865.768,49.35821440285023,851.1161686530226
1.05,2.8,27.35,88.3,2.84,0.78,100.88,1.05,27.35,2021-08-01 10:00:00,1.19031885e-11,17.452545,5941.302,68.43979965455765,1194.4486832613372
1.305,2.945,27.34,87.98,2.95,0.935,100.855,1.305,27.34,2021-08-01 10:30:00,9.38025e-13,17.452545,5922.61,70.54449648742026,1231.180999448978
1.56,3.09,27.33,87.66,3.06,1.09,100.83,1.56,27.33,2021-08-01 11:00:00,4.344861e-12,17.193502,5883.302,67.87952154989264,1167.0866895268273
1.805,3.15,27.26,87.41,3.095,1.16,100.78,1.805,27.26,2021-08-01 11:30:00,1.5801912e-12,16.8343,5862.04,72.87002532299347,1226.7158672947537
2.05,3.21,27.19,87.16,3.13,1.23,100.73,2.05,27.19,2021-08-01 12:00:00,1.843084e-12,16.766483,5857.612,66.62132259615335,1117.0052727457983
2.29,3.13,27.12,86.91,3.04,1.215,100.69,2.29,27.12,2021-08-01 12:30:00,1.6007678e-12,16.73417,5827.091,64.85095589695173,1085.2269206419887
2.53,3.05,27.05,86.66,2.95,1.2,100.65,2.53,27.05,2021-08-01 13:00:00,2.9194466e-11,16.73417,5802.117,61.36087453112362,1026.8233057507014
2.23,2.82,26.945,86.68,2.75,1.07,100.625,2.23,26.945,2021-08-01 13:30:00,5.232383e-12,16.785023,5783.042,62.75792647114864,1053.3932392502104
1.93,2.59,26.84,86.7,2.55,0.94,100.6,1.93,26.84,2021-08-01 14:00:00,9.986335e-12,16.817526,5730.236,61.840365465095594,1040.0019540581297
1.72,2.265,26.73,87.05,2.37,0.88,100.585,1.72,26.73,2021-08-01 14:30:00,1.5659394e-12,16.775389,5715.162,62.86568365812545,1054.596298115899
1.51,1.94,26.62,87.4,2.19,0.82,100.57,1.51,26.62,2021-08-01 15:00:00,2.776058e-12,16.840305,5705.331,63.56055234922058,1070.3790875291647
1.2,1.55,26.54,87.66,2.085,0.665,100.575,1.2,26.54,2021-08-01 15:30:00,1.7831954e-12,17.052132,5714.332,66.60724640525945,1135.7955578588908
0.89,1.16,26.46,87.92,1.98,0.51,100.58,0.89,26.46,2021-08-01 16:00:00,1.0853925e-11,17.074366,5739.987,61.73469728350122,1054.0808163170357
0.61,0.775,26.325,88.705,1.83,0.36,100.595,0.61,26.325,2021-08-01 16:30:00,1.4896115e-12,17.254396,5767.342,62.29497678678786,1074.8621982899526
0.33,0.39,26.19,89.49,1.68,0.21,100.61,0.33,26.19,2021-08-01 17:00:00,2.7455704e-11,17.521364,5773.256,62.45240056396117,1094.2512429532542
0.165,0.195,26.045,89.7,1.545,0.105,100.635,0.165,26.045,2021-08-01 17:30:00,2.398171e-11,17.531721,5768.928,63.08480911614822,1105.9852727610544
0.0,0.0,25.9,89.91,1.41,0.0,100.66,0.0,25.9,2021-08-01 18:00:00,1.1407102e-11,17.693829,5800.248,65.78802848335778,1164.0421262309114
0.0,0.0,25.89,89.595,1.335,0.0,100.705,0.0,25.89,2021-08-01 18:30:00,4.1195856e-11,17.434689,5854.824,65.47929742128643,1141.6111864759332
0.0,0.0,25.88,89.28,1.26,0.0,100.75,0.0,25.88,2021-08-01 19:00:00,2.7777065e-11,16.13009,5908.038,67.51617388886474,1089.0419612811627
0.0,0.0,25.875,89.085,1.31,0.0,100.76,0.0,25.875,2021-08-01 19:30:00,2.1543232e-12,16.126736,5914.305,68.06992630523685,1097.7457310638636
0.0,0.0,25.87,88.89,1.36,0.0,100.77,0.0,25.87,2021-08-01 20:00:00,6.5900605e-12,17.635195,5925.353,67.87981138554132,1197.0737103467939
0.0,0.0,25.905,88.355,1.3,0.0,100.775,0.0,25.905,2021-08-01 20:30:00,2.6983839e-11,17.511175,5916.909,67.38142560950276,1179.9279355956664
0.0,0.0,25.94,87.82,1.24,0.0,100.78,0.0,25.94,2021-08-01 21:00:00,3.903586e-13,17.775873,5891.647,66.38618684254168,1180.0724262672659
0.0,0.0,26.01,86.985,1.15,0.0,100.78,0.0,26.01,2021-08-01 21:30:00,7.437354e-12,17.963428,5813.677,66.23193641366208,1189.7526210669046
0.0,0.0,26.08,86.15,1.06,0.0,100.78,0.0,26.08,2021-08-01 22:00:00,4.5623466e-12,17.993414,5726.484,64.08472830767779,1153.1030475172736
0.0,0.0,26.075,85.95,1.085,0.0,100.76,0.0,26.075,2021-08-01 22:30:00,1.871323e-12,18.00122,5656.253,62.70645352452853,1128.792665314696
0.0,0.0,26.07,85.75,1.11,0.0,100.74,0.0,26.07,2021-08-01 23:00:00,1.0621157e-11,18.00122,5583.119,61.5590388290711,1108.1378009499974
0.0,0.0,26.045,85.755,1.15,0.0,100.71,0.0,26.045,2021-08-01 23:30:00,1.6302555e-12,18.056355,5468.411,59.8813306685267,1081.238564423208
0.0,0.0,26.02,85.76,1.19,0.0,100.68,0.0,26.02,2021-08-02 00:00:00,9.5887005e-12,18.376156,5358.952,62.84262445370515,1154.8058704100981
0.0,0.0,25.965,86.165,1.25,0.0,100.66,0.0,25.965,2021-08-02 00:30:00,1.5111313e-12,18.243637,5287.663,61.60155822663479,1123.836466920996
0.0,0.0,25.91,86.57,1.31,0.0,100.64,0.0,25.91,2021-08-02 01:00:00,4.7974493e-12,18.029392,5245.646,62.017095521756886,1118.130525862902
0.0,0.0,25.855,87.085,1.42,0.0,100.63,0.0,25.855,2021-08-02 01:30:00,4.401505e-12,18.187298,5173.79,62.10550658577347,1129.5313557161512
0.0,0.0,25.8,87.6,1.53,0.0,100.62,0.0,25.8,2021-08-02 02:00:00,3.0455033e-12,18.540676,5098.122,59.55953515215723,1104.2740439665768
0.0,0.0,25.77,87.995,1.63,0.0,100.62,0.0,25.77,2021-08-02 02:30:00,8.7951727e-13,18.363354,5047.0,59.674376834704894,1095.8217065450328
0.0,0.0,25.74,88.39,1.73,0.0,100.62,0.0,25.74,2021-08-02 03:00:00,2.656467e-12,18.132677,5013.597,58.26621408938068,1056.5224400954341
0.0,0.0,25.725,88.6,1.765,0.0,100.635,0.0,25.725,2021-08-02 03:30:00,1.110032e-12,18.225285,4982.872,58.449825954951294,1065.2647362293196
0.0,0.0,25.71,88.81,1.8,0.0,100.65,0.0,25.71,2021-08-02 04:00:00,3.3166688e-12,18.37806,4973.37,58.48501749545067,1074.8411606322481
0.0,0.0,25.675,89.01,1.795,0.0,100.665,0.0,25.675,2021-08-02 04:30:00,1.5318836e-12,18.37806,4966.397,57.59436385843931,1058.472674652141
0.0,0.0,25.64,89.21,1.79,0.0,100.68,0.0,25.64,2021-08-02 05:00:00,3.5538504e-12,18.415947,4989.994,58.09583693522053,1069.8898539194572
0.055,0.055,25.785,89.345,1.79,0.055,100.705,0.055,25.785,2021-08-02 05:30:00,1.8855962e-13,18.56812,5042.154,56.64581919245513,1051.8063682637992
0.11,0.11,25.93,89.48,1.79,0.11,100.73,0.11,25.93,2021-08-02 06:00:00,2.8975948e-11,18.831253,5105.254,53.16346490921584,1001.1346580605251
0.42,0.425,26.42,89.09,1.935,0.28,100.76,0.42,26.42,2021-08-02 06:30:00,2.244424e-11,19.050514,5138.468,51.577749354256554,982.5826361605979
0.73,0.74,26.91,88.7,2.08,0.45,100.79,0.73,26.91,2021-08-02 07:00:00,5.647345e-12,16.21153,5151.818,52.859138495385494,856.9275094917982
1.085,1.115,27.165,87.885,2.3,0.56,100.81,1.085,27.165,2021-08-02 07:30:00,9.047435e-13,16.256824,5210.752,53.498240788426706,869.7114848070258
1.44,1.49,27.42,87.07,2.52,0.67,100.83,1.44,27.42,2021-08-02 08:00:00,2.4214686e-12,18.553856,5291.301,57.196872031369104,1061.2225273203112
1.73,1.84,27.6,86.395,2.69,0.775,100.825,1.73,27.6,2021-08-02 08:30:00,2.7322272e-12,18.70661,5384.081,56.612730668694276,1059.0322736541484
2.02,2.19,27.78,85.72,2.86,0.88,100.82,2.02,27.78,2021-08-02 09:00:00,3.885352e-12,19.21108,5476.9,57.94792787947868,1113.24227832667
2.185,2.47,27.86,85.32,2.945,1.005,100.82,2.185,27.86,2021-08-02 09:30:00,4.802237e-12,19.21108,5564.203,59.95093658251592,1151.722238761352
2.35,2.75,27.94,84.92,3.03,1.13,100.82,2.35,27.94,2021-08-02 10:00:00,4.4442245e-12,19.311058,5624.45,59.79487949139793,1154.7023859611302
2.395,2.91,27.99,84.595,3.005,1.095,100.8,2.395,27.99,2021-08-02 10:30:00,8.7743284e-13,19.210176,5639.817,57.70627799122512,1108.5477565163105
2.44,3.07,28.04,84.27,2.98,1.06,100.78,2.44,28.04,2021-08-02 11:00:00,1.1724548e-11,19.210176,5638.142,59.44310195620449,1141.9124505639356
2.26,3.16,28.05,84.01,2.9,1.0,100.75,2.26,28.05,2021-08-02 11:30:00,6.1664883e-12,19.221127,5660.999,58.23186199522298,1119.282014856295
2.08,3.25,28.06,83.75,2.82,0.94,100.72,2.08,28.06,2021-08-02 12:00:00,5.778677e-12,19.159767,5662.316,60.126001964626816,1152.0001882834445
1.6,3.15,28.04,83.69,2.77,0.845,100.685,1.6,28.04,2021-08-02 12:30:00,9.0666455e-13,19.143064,5663.693,59.81621270223499,1145.0655879964431
1.12,3.05,28.02,83.63,2.72,0.75,100.65,1.12,28.02,2021-08-02 13:00:00,9.8339305e-12,19.147387,5654.866,58.905364594448876,1127.8838122654313
0.985,2.83,27.945,83.79,2.615,0.7,100.625,0.985,27.945,2021-08-02 13:30:00,1.1514916e-11,19.147387,5635.955,57.56587909124771,1102.2361649546654
0.85,2.61,27.87,83.95,2.51,0.65,100.6,0.85,27.87,2021-08-02 14:00:00,7.8153484e-11,19.575596,5652.888,57.82507052887029,1131.960219340152
0.82,2.275,27.78,84.25,2.36,0.645,100.585,0.82,27.78,2021-08-02 14:30:00,1.4355514e-12,19.661636,5677.39,59.7202715708113,1174.1982414463544
0.79,1.94,27.69,84.55,2.21,0.64,100.57,0.79,27.69,2021-08-02 15:00:00,9.835464e-13,19.661636,5692.976,60.603907330651374,1191.5719661129394
0.525,1.545,27.555,85.085,2.055,0.405,100.58,0.525,27.555,2021-08-02 15:30:00,1.480068e-11,19.660652,5706.912,59.0090258992219,1160.1559230627154
0.26,1.15,27.42,85.62,1.9,0.17,100.59,0.26,27.42,2021-08-02 16:00:00,7.013594e-13,19.659117,5721.206,60.61731214655146,1191.682831714534
0.19,0.77,27.225,86.815,1.705,0.14,100.605,0.19,27.225,2021-08-02 16:30:00,8.339488e-12,19.9238,5755.926,61.33495934007667,1222.0254628993082
0.12,0.39,27.03,88.01,1.51,0.11,100.62,0.12,27.03,2021-08-02 17:00:00,6.2602284e-12,20.062298,5792.187,62.2421197340934,1248.7199542566727
0.06,0.195,26.79,88.315,1.47,0.055,100.645,0.06,26.79,2021-08-02 17:30:00,8.0974095e-13,20.013268,5797.908,60.42689812094602,1209.3397065031402
0.0,0.0,26.55,88.62,1.43,0.0,100.67,0.0,26.55,2021-08-02 18:00:00,3.3374451e-12,20.035425,5840.66,60.91651825286894,1220.4883327162834
0.0,0.0,26.5,88.495,1.465,0.0,100.7,0.0,26.5,2021-08-02 18:30:00,2.3909856e-12,20.035425,5922.918,61.613742632096994,1234.4575194745346
0.0,0.0,26.45,88.37,1.5,0.0,100.73,0.0,26.45,2021-08-02 19:00:00,1.6998802e-11,18.156069,6005.977,62.79059477103641,1140.0303712129087
0.0,0.0,26.41,88.465,1.56,0.0,100.75,0.0,26.41,2021-08-02 19:30:00,1.1204807e-12,18.185186,6069.503,67.88386602474624,1234.480730059015
0.0,0.0,26.37,88.56,1.62,0.0,100.77,0.0,26.37,2021-08-02 20:00:00,1.7479625e-11,19.826468,6107.25,68.96048128327449,1367.242775426235
0.0,0.0,26.345,88.705,1.685,0.0,100.79,0.0,26.345,2021-08-02 20:30:00,2.965461e-11,19.826468,6099.8,67.38715674720477,1336.049306857441
0.0,0.0,26.32,88.85,1.75,0.0,100.81,0.0,26.32,2021-08-02 21:00:00,4.241125e-14,19.839525,6069.444,64.9422952748969,1288.4242906636962
0.0,0.0,26.295,89.055,1.775,0.0,100.815,0.0,26.295,2021-08-02 21:30:00,4.2813366e-12,19.839525,5978.428,62.36106345444464,1237.2138774307737
0.0,0.0,26.27,89.26,1.8,0.0,100.82,0.0,26.27,2021-08-02 22:00:00,9.860464e-13,19.707865,5891.855,60.65979139135573,1195.4749796689412
0.0,0.0,26.23,89.46,1.805,0.0,100.805,0.0,26.23,2021-08-02 22:30:00,5.092725e-12,19.707865,5802.023,61.087787259543695,1203.9098644594962
0.0,0.0,26.19,89.66,1.81,0.0,100.79,0.0,26.19,2021-08-02 23:00:00,1.2657223e-12,19.414127,5703.999,59.61291160269229,1157.3326366943663
0.0,0.0,26.13,90.02,1.82,0.0,100.76,0.0,26.13,2021-08-02 23:30:00,2.1372728e-12,19.414127,5588.467,58.37848177426377,1133.3672592326172
0.0,0.0,26.07,90.38,1.83,0.0,100.73,0.0,26.07,2021-08-03 00:00:00,1.4405496e-11,19.759314,5460.683,59.491055819805695,1175.5024521342111
0.0,0.0,26.005,90.705,1.825,0.0,100.7,0.0,26.005,2021-08-03 00:30:00,5.109869e-12,19.676922,5367.704,58.94622140786993,1159.8802008370856
0.0,0.0,25.94,91.03,1.82,0.0,100.67,0.0,25.94,2021-08-03 01:00:00,8.314509e-11,19.319643,5287.757,57.80287807564735,1116.7309687892277
0.0,0.0,25.89,91.335,1.85,0.0,100.66,0.0,25.89,2021-08-03 01:30:00,8.1346393e-13,19.251333,5236.909,57.82839021859035,1113.2735969519786
0.0,0.0,25.84,91.64,1.88,0.0,100.65,0.0,25.84,2021-08-03 02:00:00,1.8350278e-11,19.238443,5180.32,57.08989700550252,1098.3207294151835
0.0,0.0,25.835,91.77,1.935,0.0,100.655,0.0,25.835,2021-08-03 02:30:00,8.501829e-12,19.238443,5130.198,54.382725662315515,1046.2389678386319
0.0,0.0,25.83,91.9,1.99,0.0,100.66,0.0,25.83,2021-08-03 03:00:00,8.096935e-12,19.238243,5101.859,54.005479591406754,1038.9705397105865
0.0,0.0,25.805,91.935,1.975,0.0,100.68,0.0,25.805,2021-08-03 03:30:00,1.6529502e-11,19.238243,5074.703,52.40972715778894,1008.2710666243767
0.0,0.0,25.78,91.97,1.96,0.0,100.7,0.0,25.78,2021-08-03 04:00:00,2.8890244e-11,18.710123,5056.309,50.24108442827938,940.0168693050404
0.0,0.0,25.75,91.845,1.905,0.0,100.725,0.0,25.75,2021-08-03 04:30:00,3.863611e-12,18.655851,5096.377,51.39840497281303,958.8809848102602
0.0,0.0,25.72,91.72,1.85,0.0,100.75,0.0,25.72,2021-08-03 05:00:00,8.23236e-14,18.530123,5154.884,52.994022797213695,981.9857606971694
0.045,0.055,25.85,91.485,1.785,0.045,100.77,0.045,25.85,2021-08-03 05:30:00,3.4357634e-12,18.668762,5291.753,57.490307290789794,1073.272864118422
0.09,0.11,25.98,91.25,1.72,0.09,100.79,0.09,25.98,2021-08-03 06:00:00,4.317146e-12,18.828564,5464.918,58.03539940738993,1092.7232320073529
0.34,0.43,26.475,90.135,1.785,0.26,100.825,0.34,26.475,2021-08-03 06:30:00,5.139446e-12,18.834454,5657.008,60.303222296778,1135.7782664001297
0.59,0.75,26.97,89.02,1.85,0.43,100.86,0.59,26.97,2021-08-03 07:00:00,5.403465e-11,16.006193,5872.169,59.395411436010086,950.6944187559752
0.985,1.135,27.29,87.5,1.875,0.62,100.87,0.985,27.29,2021-08-03 07:30:00,1.9415611e-11,15.934292,6130.207,60.7568181158327,968.1168808473884
1.38,1.52,27.61,85.98,1.9,0.81,100.88,1.38,27.61,2021-08-03 08:00:00,2.0238457e-12,18.467196,6344.598,62.39206174929799,1152.2064331682625
1.725,1.94,27.925,83.56,1.885,0.83,100.875,1.725,27.925,2021-08-03 08:30:00,3.282585e-11,18.592394,6482.873,67.66515394540535,1258.0572022214094
2.07,2.36,28.24,81.14,1.87,0.85,100.87,2.07,28.24,2021-08-03 09:00:00,8.185351e-12,19.076757,6558.203,68.72033176190516,1310.961069980684
2.435,2.64,28.535,79.185,1.86,0.935,100.86,2.435,28.535,2021-08-03 09:30:00,3.6415385e-11,19.18898,6620.895,70.69884087312435,1356.6386435349914
2.8,2.92,28.83,77.23,1.85,1.02,100.85,2.8,28.83,2021-08-03 10:00:00,5.6344582e-11,19.299582,6681.251,69.52948392430729,1341.8899764109326
2.87,3.08,29.07,76.215,1.83,0.98,100.825,2.87,29.07,2021-08-03 10:30:00,1.6088632e-13,19.305431,6689.521,69.79142270428967,1347.3534954094864
2.94,3.24,29.31,75.2,1.81,0.94,100.8,2.94,29.31,2021-08-03 11:00:00,8.694252e-12,19.40076,6647.584,68.53090267854395,1329.5515954491925
2.94,3.255,29.405,74.99,1.85,0.975,100.76,2.94,29.405,2021-08-03 11:30:00,1.3217133e-11,19.41171,6625.442,69.32129183484483,1345.6448139224594
2.94,3.27,29.5,74.78,1.89,1.01,100.72,2.94,29.5,2021-08-03 12:00:00,9.902481e-12,19.41171,6605.423,68.20719388894865,1324.018267685368
2.775,3.16,29.515,74.86,1.945,0.97,100.68,2.775,29.515,2021-08-03 12:30:00,2.4285513e-11,19.41171,6622.649,68.58842483105859,1331.4186121756425
2.61,3.05,29.53,74.94,2.0,0.93,100.64,2.61,29.53,2021-08-03 13:00:00,1.4938403e-11,19.41171,6659.904,70.71271543675628,1372.65472536978
2.375,2.82,29.45,75.35,2.0,0.83,100.62,2.375,29.45,2021-08-03 13:30:00,2.8474424e-11,19.41171,6690.067,69.95607252148955,1357.9669925241317
2.14,2.59,29.37,75.76,2.0,0.73,100.6,2.14,29.37,2021-08-03 14:00:00,1.022883e-11,19.446787,6685.892,69.71590695033306,1355.7503929742336
1.835,2.255,29.21,76.615,1.98,0.78,100.595,1.835,29.21,2021-08-03 14:30:00,9.175047e-12,19.343828,6705.907,72.59020247587237,1404.172391177783
1.53,1.92,29.05,77.47,1.96,0.83,100.59,1.53,29.05,2021-08-03 15:00:00,3.9400917e-12,19.240417,6706.935,72.31040744725212,1391.2823927247514
1.205,1.525,28.83,79.14,1.875,0.66,100.595,1.205,28.83,2021-08-03 15:30:00,1.7340289e-11,19.235434,6730.29,78.86469479060538,1516.9966315734662
0.88,1.13,28.61,80.81,1.79,0.49,100.6,0.88,28.61,2021-08-03 16:00:00,1.22883925e-11,19.347841,6714.753,76.61696069841004,1482.3727734951449
0.59,0.75,28.275,82.4,1.745,0.35,100.63,0.59,28.275,2021-08-03 16:30:00,1.6084077e-11,19.545832,6698.064,72.64338545070642,1419.8754079295836
0.3,0.37,27.94,83.99,1.7,0.21,100.66,0.3,27.94,2021-08-03 17:00:00,7.1209215e-12,19.542536,6692.085,71.7390194802321,1401.9623707966264
0.15,0.185,27.545,86.135,1.62,0.105,100.695,0.15,27.545,2021-08-03 17:30:00,2.4241306e-12,19.751421,6613.708,87.1092106744551,1720.5306930086456
0.0,0.0,27.15,88.28,1.54,0.0,100.73,0.0,27.15,2021-08-03 18:00:00,2.4173246e-12,19.962814,6525.431,69.124447829849,1379.9184948798124
0.0,0.0,27.035,88.565,1.605,0.0,100.77,0.0,27.035,2021-08-03 18:30:00,6.192076e-12,19.625383,6487.535,69.08473868479653,1355.8144561436204
0.0,0.0,26.92,88.85,1.67,0.0,100.81,0.0,26.92,2021-08-03 19:00:00,1.168447e-12,17.507708,6469.688,69.4006566307568,1215.0464312994727
0.0,0.0,26.85,89.11,1.73,0.0,100.845,0.0,26.85,2021-08-03 19:30:00,9.913007e-12,17.483046,6460.031,68.33588500909843,1194.7194210641012
0.0,0.0,26.78,89.37,1.79,0.0,100.88,0.0,26.78,2021-08-03 20:00:00,1.8880633e-11,19.292822,6424.59,66.6321836851416,1285.522859307483
0.0,0.0,26.72,89.56,1.83,0.0,100.89,0.0,26.72,2021-08-03 20:30:00,1.5697044e-12,19.309975,6393.875,63.9423279106042,1234.724753395469
0.0,0.0,26.66,89.75,1.87,0.0,100.9,0.0,26.66,2021-08-03 21:00:00,1.4832502e-11,19.036478,6324.802,64.79012343911388,1233.3757594650147
0.0,0.0,26.61,89.93,1.885,0.0,100.905,0.0,26.61,2021-08-03 21:30:00,8.433061e-12,19.036478,6195.711,60.71888055985368,1155.87363396177
0.0,0.0,26.56,90.11,1.9,0.0,100.91,0.0,26.56,2021-08-03 22:00:00,4.460965e-15,19.06736,6054.469,59.03841700178799,1125.7067508032121
0.0,0.0,26.5,90.28,1.885,0.0,100.9,0.0,26.5,2021-08-03 22:30:00,4.06957e-12,19.015474,5940.711,56.848646238055494,1081.0039544747108
0.0,0.0,26.44,90.45,1.87,0.0,100.89,0.0,26.44,2021-08-03 23:00:00,4.3277014e-11,18.949423,5842.717,56.95245148462709,1079.216094066712
0.0,0.0,26.37,90.66,1.86,0.0,100.86,0.0,26.37,2021-08-03 23:30:00,2.6533715e-13,19.098047,5717.786,56.716561550393216,1083.1755581677874
0.0,0.0,26.3,90.87,1.85,0.0,100.83,0.0,26.3,2021-08-04 00:00:00,3.900968e-12,18.51209,5610.012,61.35888861986229,1135.8812684306272
0.0,0.0,26.24,91.03,1.86,0.0,100.805,0.0,26.24,2021-08-04 00:30:00,5.028048e-12,18.167719,5503.117,58.911568653059355,1070.2888251376949
0.0,0.0,26.18,91.19,1.87,0.0,100.78,0.0,26.18,2021-08-04 01:00:00,1.1762374e-12,18.048798,5428.224,58.286449696434644,1052.0003567080419
0.0,0.0,26.14,91.305,1.86,0.0,100.77,0.0,26.14,2021-08-04 01:30:00,2.2125615e-12,18.048798,5360.602,57.62457364459059,1040.054289547212
0.0,0.0,26.1,91.42,1.85,0.0,100.76,0.0,26.1,2021-08-04 02:00:00,3.3644708e-14,18.133465,5303.253,57.10019780616755,1035.4244384112144
0.0,0.0,26.055,91.52,1.85,0.0,100.76,0.0,26.055,2021-08-04 02:30:00,3.7038666e-12,18.088488,5253.727,55.49549545650611,1003.8296036188598
0.0,0.0,26.01,91.62,1.85,0.0,100.76,0.0,26.01,2021-08-04 03:00:00,6.8148573e-12,18.374344,5216.06,54.48993189982773,1001.216753263637
0.0,0.0,25.95,91.79,1.815,0.0,100.77,0.0,25.95,2021-08-04 03:30:00,1.075964e-12,18.395174,5200.553,53.83573659010427,990.3177419930768
0.0,0.0,25.89,91.96,1.78,0.0,100.78,0.0,25.89,2021-08-04 04:00:00,1.0721379e-11,18.552189,5223.783,55.52883203380788,1030.1813868398626
0.0,0.0,25.82,92.085,1.72,0.0,100.81,0.0,25.82,2021-08-04 04:30:00,7.180715e-12,18.470068,5263.21,56.67683272433311,1046.824954442651
0.0,0.0,25.75,92.21,1.66,0.0,100.84,0.0,25.75,2021-08-04 05:00:00,2.045174e-11,18.45299,5324.217,57.996266900172664,1070.204533145031
0.04,0.05,25.87,92.155,1.615,0.045,100.87,0.04,25.87,2021-08-04 05:30:00,3.027393e-12,18.55237,5447.667,59.42580824095896,1102.4895820351398
0.08,0.1,25.99,92.1,1.57,0.09,100.9,0.08,25.99,2021-08-04 06:00:00,4.6383847e-12,18.610672,5604.261,59.56457686792827,1108.536802907524
0.285,0.38,26.385,91.265,1.715,0.245,100.935,0.285,26.385,2021-08-04 06:30:00,6.2236045e-13,18.570425,5784.936,61.25731180643482,1137.5743146029743
0.49,0.66,26.78,90.43,1.86,0.4,100.97,0.49,26.78,2021-08-04 07:00:00,1.875146e-12,16.114315,5970.034,59.49203609658545,958.6734096516369
0.815,1.055,27.005,89.44,1.925,0.56,100.98,0.815,27.005,2021-08-04 07:30:00,7.922385e-12,15.80144,6190.488,62.017207854932046,979.9611888867461
1.14,1.45,27.23,88.45,1.99,0.72,100.99,1.14,27.23,2021-08-04 08:00:00,7.1237465e-12,17.854818,6381.331,60.234763142840194,1075.4807331880907
1.315,1.815,27.46,86.79,1.985,0.77,100.975,1.315,27.46,2021-08-04 08:30:00,3.7022474e-13,18.299606,6510.367,66.83459059539955,1223.0466750670926
1.49,2.18,27.69,85.13,1.98,0.82,100.96,1.49,27.69,2021-08-04 09:00:00,3.764986e-12,18.52871,6553.124,67.92206413050599,1258.5082288752917
1.645,2.45,27.935,83.66,1.975,0.91,100.93,1.645,27.935,2021-08-04 09:30:00,3.2870757e-12,18.688534,6597.108,68.28525438359902,1276.151298246315
